"","State","cause","y1","y2","y3","y4","mortality"
"94","South Carolina","C2",NA,101.2,84.9,130.9,317
"95","South Dakota","C2",243.4,255.6,215.7,222.1,936.8
"96","Tennessee","C2",80.5,85.5,87.1,53.1,306.2
"97","Texas","C2",33,35.1,50.7,35.2,154
"98","Utah","C2",132.7,117.5,118.6,96.4,465.2
"99","Vermont","C2",NA,NA,NA,NA,0
"100","Virginia","C2",66.1,81.6,72.7,82.4,302.8
"101","Washington","C2",173.5,188.7,177.6,162.8,702.6
"102","West Virginia","C2",NA,NA,NA,NA,0
"103","Wisconsin","C2",186.3,245,238.6,198.9,868.8
"104","Wyoming","C2",214,150.9,169.3,172,706.2
"105","U.S.","C3",43,43.9,39.4,35.9,162.2
"106","Alabama","C3",NA,NA,NA,NA,0
"107","Alaska","C3",17.3,21,17.5,25.7,81.5
"108","Arizona","C3",77.5,61.3,55.3,68.6,262.7
"109","Arkansas","C3",NA,NA,NA,NA,0
"110","California","C3",20.4,24.3,21.1,16.3,82.1
"111","Colorado","C3",28.2,40.3,30.6,19,118.1
"112","Connecticut","C3",NA,NA,NA,NA,0
"113","Delaware","C3",NA,NA,NA,NA,0
"114","District of Columbia","C3",NA,NA,NA,NA,0
"115","Florida","C3",18.1,NA,14.5,13.4,46
"116","Georgia","C3",NA,NA,NA,NA,0
"117","Hawaii","C3",NA,NA,NA,NA,0
"118","Idaho","C3",107.3,116.5,47.7,58.4,329.9
"119","Illinois","C3",NA,NA,NA,NA,0
"120","Indiana","C3",NA,NA,NA,NA,0
"121","Iowa","C3",NA,NA,NA,NA,0
"122","Kansas","C3",NA,43.7,47.5,47.6,138.8
"123","Kentucky","C3",NA,NA,NA,NA,0
"124","Louisiana","C3",NA,NA,NA,NA,0
"125","Maine","C3",NA,NA,NA,NA,0
"126","Maryland","C3",NA,NA,NA,NA,0
"127","Massachusetts","C3",NA,NA,NA,NA,0
"128","Michigan","C3",66.1,60.5,63.8,45.2,235.6
"129","Minnesota","C3",88.9,100,77.7,68.3,334.9
"130","Mississippi","C3",NA,129,97,75.4,301.4
"131","Missouri","C3",NA,NA,NA,NA,0
"132","Montana","C3",59.1,92.2,65,73,289.3
"133","Nebraska","C3",NA,NA,100.5,92,192.5
"134","Nevada","C3",41,NA,NA,35.4,76.4
"135","New Hampshire","C3",NA,NA,NA,NA,0
"136","New Jersey","C3",NA,NA,NA,NA,0
"137","New Mexico","C3",72.5,66.1,71.7,65.5,275.8
"138","New York","C3",17.2,12.2,12.8,10.9,53.1
"139","North Carolina","C3",54.1,55.8,43.6,38.3,191.8
"140","North Dakota","C3",126.9,85.3,109.8,96.8,418.8
"141","Ohio","C3",NA,NA,NA,NA,0
"142","Oklahoma","C3",60.7,71.3,62.6,57.9,252.5
"143","Oregon","C3",44.4,49.4,63.9,43.7,201.4
"144","Pennsylvania","C3",NA,NA,NA,NA,0
"145","Rhode Island","C3",NA,NA,NA,NA,0
"146","South Carolina","C3",NA,NA,NA,NA,0
"147","South Dakota","C3",99.5,135.4,114.8,110,459.7
"148","Tennessee","C3",NA,NA,NA,NA,0
"149","Texas","C3",NA,NA,11.5,NA,11.5
"150","Utah","C3",88.6,66.1,76,57.3,288
"151","Vermont","C3",NA,NA,NA,NA,0
"152","Virginia","C3",NA,NA,NA,NA,0
"153","Washington","C3",42.3,52.1,51.6,45.5,191.5
"154","West Virginia","C3",NA,NA,NA,NA,0
"155","Wisconsin","C3",64,76.9,70.7,55.8,267.4
"156","Wyoming","C3",NA,NA,NA,NA,0
"157","U.S.","C4",230.5,219.3,186.6,167,803.4
"158","Alabama","C4",112.3,155,108.9,102.2,478.4
"159","Alaska","C4",281.1,317.8,255.2,292.1,1146.2
"160","Arizona","C4",245.1,222.8,182.8,176.1,826.8
"161","Arkansas","C4",124.9,177.4,170.2,134.9,607.4
"162","California","C4",162.4,155.9,132.2,114.4,564.9
"163","Colorado","C4",186.6,152.2,121.3,123.5,583.6
"164","Connecticut","C4",271.2,223,121.1,96.8,712.1
"165","Delaware","C4",NA,NA,240.8,NA,240.8
"166","District of Columbia","C4",NA,NA,NA,NA,0
"167","Florida","C4",120.6,131.7,96.7,92.6,441.6
"168","Georgia","C4",268.2,311.2,121.2,63.6,764.2
"169","Hawaii","C4",572.5,NA,NA,262.3,834.8
"170","Idaho","C4",283.7,286,251,233.1,1053.8
"171","Illinois","C4",107.8,104,80.1,57.3,349.2
"172","Indiana","C4",85,79.9,50.7,57.5,273.1
"173","Iowa","C4",249.7,217.2,202.6,225,894.5
"174","Kansas","C4",362.7,365.7,395.7,336.9,1461
"175","Kentucky","C4",NA,NA,NA,91.6,91.6
"176","Louisiana","C4",150.2,151.8,93.9,152.9,548.8
"177","Maine","C4",695.2,444.8,350.9,334.1,1825
"178","Maryland","C4",318.5,203.6,117.4,58.9,698.4
"179","Massachusetts","C4",123.4,132.1,113.8,68.7,438
"180","Michigan","C4",425.9,351.8,332.1,249.3,1359.1
"181","Minnesota","C4",343.6,308.5,288,241.8,1181.9
"182","Mississippi","C4",297.8,203.5,210.9,231.4,943.6
"183","Missouri","C4",156.3,143.2,155.5,97.5,552.5
"184","Montana","C4",348.7,347.6,294,286.8,1277.1
"185","Nebraska","C4",416.1,304.4,209.3,190.1,1119.9
"186","Nevada","C4",230.8,283.5,225.9,158.9,899.1
"187","New Hampshire","C4",NA,NA,NA,NA,0
"188","New Jersey","C4",122,165.4,112.6,65.1,465.1
"189","New Mexico","C4",209.7,188.9,152.5,156.9,708
"190","New York","C4",105.5,104.6,75.4,67,352.5
"191","North Carolina","C4",389.5,359.6,272.2,223.9,1245.2
"192","North Dakota","C4",448,348.7,377.5,347.1,1521.3
"193","Ohio","C4",100.4,74.4,88.7,80.4,343.9
"194","Oklahoma","C4",297.4,322.5,321.3,296.5,1237.7
"195","Oregon","C4",285.2,266.3,194.7,155.5,901.7
"196","Pennsylvania","C4",119.3,91.7,67.4,93.6,372
"197","Rhode Island","C4",267.8,249.1,195.8,163.3,876
"198","South Carolina","C4",158,157.7,201.8,132.8,650.3
"199","South Dakota","C4",424.5,420.1,334.4,306.3,1485.3
"200","Tennessee","C4",78.6,106,86.4,89,360
"201","Texas","C4",68.1,63.3,78.4,47.8,257.6
"202","Utah","C4",186.5,260.4,165.6,161.2,773.7
"203","Vermont","C4",NA,NA,NA,NA,0
"204","Virginia","C4",117.2,93,114.4,123.3,447.9
"205","Washington","C4",341.6,304.2,278.6,270.6,1195
"206","West Virginia","C4",NA,NA,NA,NA,0
"207","Wisconsin","C4",318.3,342.9,283.1,292.2,1236.5
"208","Wyoming","C4",361.1,211.5,240.9,212.4,1025.9
"209","U.S.","C5",171.8,165.1,141.8,127.7,606.4
"210","Alabama","C5",92.5,112.6,81.8,86,372.9
"211","Alaska","C5",206.6,211.6,181.8,214.2,814.2
"212","Arizona","C5",181.7,168.8,138.8,131.5,620.8
"213","Arkansas","C5",103.2,148.1,105.7,97.4,454.4
"214","California","C5",118.6,116.6,101.2,86.7,423.1
"215","Colorado","C5",127.6,121.4,87.2,90.7,426.9
"216","Connecticut","C5",198.3,164.9,NA,NA,363.2
"217","Delaware","C5",NA,NA,NA,NA,0
"218","District of Columbia","C5",NA,NA,NA,NA,0
"219","Florida","C5",82.9,98.1,67.8,69.5,318.3
"220","Georgia","C5",171.4,223.1,84,42.8,521.3
"221","Hawaii","C5",NA,NA,NA,NA,0
"222","Idaho","C5",202.7,205.8,173.2,169.7,751.4
"223","Illinois","C5",81,72.7,58.9,46.1,258.7
"224","Indiana","C5",NA,NA,NA,41.7,41.7
"225","Iowa","C5",206.1,NA,NA,185.9,392
"226","Kansas","C5",282.1,260.8,307.2,241.9,1092
"227","Kentucky","C5",NA,NA,NA,NA,0
"228","Louisiana","C5",107.5,119.6,71.5,120.5,419.1
"229","Maine","C5",540.3,365.7,311.1,253.4,1470.5
"230","Maryland","C5",248.1,176.7,94.7,50.9,570.4
"231","Massachusetts","C5",94.4,104.2,88,55.8,342.4
"232","Michigan","C5",338.5,276.8,260.3,204.2,1079.8
"233","Minnesota","C5",241.2,240.3,212.4,187.2,881.1
"234","Mississippi","C5",194.5,147.2,170.2,177.6,689.5
"235","Missouri","C5",130.2,102.2,113,79.3,424.7
"236","Montana","C5",246.8,257.3,216.9,224.6,945.6
"237","Nebraska","C5",332.8,230.9,157.9,137.6,859.2
"238","Nevada","C5",182.6,221.8,177,124.6,706
"239","New Hampshire","C5",NA,NA,NA,NA,0
"240","New Jersey","C5",89.7,134.9,77,50.6,352.2
"241","New Mexico","C5",158,145.7,108,117.7,529.4
"242","New York","C5",82,82.4,65.7,53.1,283.2
"243","North Carolina","C5",294.7,263.4,203.8,179.2,941.1
"244","North Dakota","C5",351.3,279.8,297.7,257.7,1186.5
"245","Ohio","C5",77.8,61.3,67.5,66.1,272.7
"246","Oklahoma","C5",222.6,247.7,255.1,230.3,955.7
"247","Oregon","C5",187.8,185.8,140,103.9,617.5
"248","Pennsylvania","C5",92.6,58,53.7,79.5,283.8
"249","Rhode Island","C5",209.2,184.7,140.4,149.7,684
"250","South Carolina","C5",114.2,129.3,127.2,91.6,462.3
"251","South Dakota","C5",329.2,341.5,248.1,240.7,1159.5
"252","Tennessee","C5",NA,82.9,76.5,80.7,240.1
"253","Texas","C5",50.5,42.3,59.8,36,188.6
"254","Utah","C5",151.1,199.9,123.2,118.6,592.8
"255","Vermont","C5",NA,NA,NA,NA,0
"256","Virginia","C5",95.2,53,82.4,83.8,314.4
"257","Washington","C5",232.5,221.8,207.3,200.6,862.2
"258","West Virginia","C5",NA,NA,NA,NA,0
"259","Wisconsin","C5",241.5,264.6,225.4,226.6,958.1
"260","Wyoming","C5",297.6,138.5,200.4,167.4,803.9
"261","U.S.","C6",123.8,116.1,96.7,84.2,420.8
"262","Alabama","C6",60.9,65.2,37.3,41.7,205.1
"263","Alaska","C6",122.8,115.1,93.4,101.8,433.1
"264","Arizona","C6",122.2,118.7,92.8,89.9,423.6
"265","Arkansas","C6",59.9,107.7,76.9,66.7,311.2
"266","California","C6",92.8,84.6,69.5,61.1,308
"267","Colorado","C6",92.6,89.3,47,53.8,282.7
"268","Connecticut","C6",153.2,121.9,NA,NA,275.1
"269","Delaware","C6",NA,NA,NA,NA,0
"270","District of Columbia","C6",NA,NA,NA,NA,0
"271","Florida","C6",59.8,76.4,52.1,46.2,234.5
